Season;Episode;Rating;Code
4;12;8.5;tt0306414
4;13;8.8;tt0306414
5;1;8.0;tt0306414
5;2;8.1;tt0306414
5;3;8.3;tt0306414
5;4;8.3;tt0306414
5;5;8.3;tt0306414
5;6;8.3;tt0306414
5;7;8.3;tt0306414
5;8;8.3;tt0306414
5;9;8.4;tt0306414
5;10;8.8;tt0306414
1;1;7.8;tt6769208
1;2;7.6;tt6769208
1;3;7.4;tt6769208
1;4;7.4;tt6769208
1;5;7.5;tt6769208
1;6;7.3;tt6769208
1;7;6.8;tt6769208
1;8;5.5;tt6769208
1;1;9.2;tt2395695
1;2;9.0;tt2395695
1;3;9.1;tt2395695
1;4;9.1;tt2395695
1;5;9.1;tt2395695
1;6;8.8;tt2395695
1;7;8.9;tt2395695
1;8;9.0;tt2395695
1;9;9.1;tt2395695
1;10;9.1;tt2395695
1;11;9.1;tt2395695
1;12;9.1;tt2395695
1;13;9.4;tt2395695
1;1;8.9;tt0081846
1;2;9.0;tt0081846
1;3;8.8;tt0081846
1;4;8.9;tt0081846
1;5;8.9;tt0081846
1;6;8.8;tt0081846
1;7;8.8;tt0081846
1;8;9.1;tt0081846
1;9;8.9;tt0081846
1;10;9.0;tt0081846
1;11;8.8;tt0081846
1;12;8.9;tt0081846
1;13;9.0;tt0081846
1;1;8.0;tt2861424
1;2;8.5;tt2861424
1;3;8.3;tt2861424
1;4;8.5;tt2861424
1;5;8.8;tt2861424
1;6;8.8;tt2861424
1;7;8.0;tt2861424
1;8;8.5;tt2861424
1;9;8.3;tt2861424
1;10;9.1;tt2861424
1;11;8.3;tt2861424
2;1;8.6;tt2861424
2;2;8.6;tt2861424
2;3;8.4;tt2861424
2;4;9.3;tt2861424
2;5;8.1;tt2861424
2;6;9.0;tt2861424
2;7;8.3;tt2861424
2;8;7.5;tt2861424
2;9;8.3;tt2861424
2;10;9.0;tt2861424
3;1;9.5;tt2861424
3;2;8.1;tt2861424
3;3;9.2;tt2861424
3;4;8.1;tt2861424
3;5;8.4;tt2861424
3;6;8.8;tt2861424
3;7;9.8;tt2861424
3;8;8.8;tt2861424
3;9;7.9;tt2861424
3;10;8.1;tt2861424
1;1;9.3;tt7366338
1;1;8.6;tt0141842
1;2;8.6;tt0141842
1;3;8.8;tt0141842
1;4;8.8;tt0141842
1;5;8.9;tt0141842
1;6;8.7;tt0141842
1;7;8.6;tt0141842
1;8;8.8;tt0141842
1;9;8.7;tt0141842
1;10;8.3;tt0141842
1;11;8.8;tt0141842
1;12;9.1;tt0141842
1;13;9.1;tt0141842
2;1;8.5;tt0141842
2;2;8.4;tt0141842
2;3;8.6;tt0141842
2;4;8.7;tt0141842
2;5;8.7;tt0141842
2;6;8.7;tt0141842
2;7;8.7;tt0141842
2;8;8.9;tt0141842
2;9;8.8;tt0141842
2;10;8.7;tt0141842
2;11;8.4;tt0141842
2;12;9.2;tt0141842
2;13;9.3;tt0141842
3;1;8.7;tt0141842
3;2;8.7;tt0141842
3;3;8.6;tt0141842
3;4;9.0;tt0141842
3;5;8.7;tt0141842
3;6;8.7;tt0141842
3;7;8.6;tt0141842
3;8;8.5;tt0141842
3;9;8.4;tt0141842
3;10;8.6;tt0141842
3;11;9.7;tt0141842
3;12;9.1;tt0141842
3;13;9.0;tt0141842
4;1;8.3;tt0141842
4;2;8.3;tt0141842
4;3;8.0;tt0141842
4;4;8.4;tt0141842
4;5;8.2;tt0141842
4;6;8.4;tt0141842
4;7;8.2;tt0141842
4;8;8.3;tt0141842
4;9;9.1;tt0141842
4;10;8.7;tt0141842
4;11;8.1;tt0141842
4;12;8.3;tt0141842
4;13;9.0;tt0141842
5;1;8.7;tt0141842
5;2;8.6;tt0141842
5;3;8.7;tt0141842
5;4;8.6;tt0141842
5;5;9.1;tt0141842
5;6;8.4;tt0141842
5;7;8.3;tt0141842
5;8;8.7;tt0141842
5;9;8.8;tt0141842
5;10;8.7;tt0141842
5;11;8.6;tt0141842
5;12;9.5;tt0141842
5;13;9.1;tt0141842
6;1;9.1;tt0141842
6;2;8.7;tt0141842
6;3;8.7;tt0141842
6;4;8.5;tt0141842
6;5;8.8;tt0141842
6;6;8.6;tt0141842
6;7;8.4;tt0141842
6;8;8.4;tt0141842
6;9;8.4;tt0141842
6;10;8.4;tt0141842
6;11;8.7;tt0141842
6;12;8.4;tt0141842
6;13;8.9;tt0141842
6;14;8.8;tt0141842
6;15;8.6;tt0141842
6;16;8.2;tt0141842
6;17;8.8;tt0141842
6;18;9.0;tt0141842
6;19;9.1;tt0141842
6;20;9.5;tt0141842
6;21;9.1;tt0141842
1;1;8.9;tt0071075
1;2;8.5;tt0071075
1;3;8.9;tt0071075
1;4;8.8;tt0071075
1;5;9.0;tt0071075
1;6;8.7;tt0071075
1;7;8.6;tt0071075
1;8;8.7;tt0071075
1;9;9.1;tt0071075
1;10;8.5;tt0071075
1;11;8.9;tt0071075
1;12;8.6;tt0071075
1;13;8.6;tt0071075
1;14;8.6;tt0071075
1;15;8.3;tt0071075
1;16;9.0;tt0071075
1;17;9.1;tt0071075
1;18;8.7;tt0071075
1;19;8.6;tt0071075
1;20;9.1;tt0071075
1;21;9.0;tt0071075
1;22;8.6;tt0071075
1;23;8.7;tt0071075
1;24;9.0;tt0071075
1;25;8.7;tt0071075
1;26;8.7;tt0071075
1;1;8.6;tt0417299
1;2;8.2;tt0417299
1;3;8.4;tt0417299
1;4;8.5;tt0417299
1;5;8.2;tt0417299
1;6;8.3;tt0417299
1;7;8.1;tt0417299
1;8;8.3;tt0417299
1;9;8.9;tt0417299
1;10;8.1;tt0417299
1;11;8.0;tt0417299
1;12;7.2;tt0417299
1;13;9.0;tt0417299
1;14;9.0;tt0417299
1;15;8.0;tt0417299
1;16;8.0;tt0417299
1;17;8.5;tt0417299
1;18;8.1;tt0417299
1;19;8.6;tt0417299
1;20;9.4;tt0417299
2;1;8.7;tt0417299
2;2;8.3;tt0417299
2;3;8.5;tt0417299
2;4;7.9;tt0417299
2;5;7.7;tt0417299
2;6;9.1;tt0417299
2;7;9.4;tt0417299
2;8;8.9;tt0417299
2;9;8.6;tt0417299
2;10;8.8;tt0417299
2;11;8.8;tt0417299
2;12;8.4;tt0417299
2;13;9.0;tt0417299
2;14;8.7;tt0417299
2;15;9.1;tt0417299
2;16;8.8;tt0417299
2;17;9.0;tt0417299
2;18;8.6;tt0417299
2;19;9.0;tt0417299
2;20;9.5;tt0417299
3;1;8.7;tt0417299
3;2;8.5;tt0417299
3;3;8.1;tt0417299
3;4;8.8;tt0417299
3;5;8.5;tt0417299
3;6;9.4;tt0417299
3;7;8.3;tt0417299
3;8;9.0;tt0417299
3;9;7.9;tt0417299
3;10;9.1;tt0417299
3;11;9.3;tt0417299
3;12;8.9;tt0417299
3;13;9.1;tt0417299
3;14;8.7;tt0417299
3;15;9.2;tt0417299
3;16;8.9;tt0417299
3;17;8.7;tt0417299
3;18;9.1;tt0417299
3;19;9.4;tt0417299
3;20;9.6;tt0417299
3;21;9.8;tt0417299
1;1;8.8;tt1533395
1;2;8.8;tt1533395
1;3;8.5;tt1533395
1;4;8.5;tt1533395
1;5;8.4;tt1533395
1;6;8.6;tt1533395
1;7;8.4;tt1533395
1;8;8.5;tt1533395
1;9;8.7;tt1533395
1;10;8.5;tt1533395
1;1;8.9;tt1475582
1;2;9.1;tt1475582
1;3;8.1;tt1475582
1;4;9.1;tt1475582
2;1;9.5;tt1475582
2;2;8.5;tt1475582
2;3;9.7;tt1475582
3;1;8.7;tt1475582
3;2;9.0;tt1475582
3;3;9.0;tt1475582
3;4;9.3;tt1475582
4;1;8.2;tt1475582
4;2;7.7;tt1475582
4;3;9.2;tt1475582
4;4;8.3;tt1475582
1;1;7.9;tt1877514
1;2;7.9;tt1877514
1;3;7.8;tt1877514
1;4;7.8;tt1877514
1;5;7.9;tt1877514
1;6;8.0;tt1877514
1;7;7.8;tt1877514
1;8;7.9;tt1877514
1;9;7.9;tt1877514
1;10;7.9;tt1877514
1;1;8.0;tt0052520
1;2;7.7;tt0052520
1;3;7.3;tt0052520
1;4;6.9;tt0052520
1;5;8.4;tt0052520
1;6;7.4;tt0052520
1;7;8.3;tt0052520
1;8;9.1;tt0052520
1;9;7.6;tt0052520
1;10;7.4;tt0052520
1;11;8.5;tt0052520
1;12;8.1;tt0052520
1;13;7.3;tt0052520
1;14;8.3;tt0052520
1;15;7.9;tt0052520
1;16;8.4;tt0052520
1;17;6.8;tt0052520
1;18;8.1;tt0052520
1;19;7.5;tt0052520
1;20;7.6;tt0052520
1;21;8.0;tt0052520
1;22;9.0;tt0052520
1;23;7.8;tt0052520
1;24;8.2;tt0052520
1;25;8.3;tt0052520
1;26;7.4;tt0052520
1;27;6.8;tt0052520
1;28;8.0;tt0052520
1;29;7.5;tt0052520
1;30;8.7;tt0052520
1;31;7.1;tt0052520
1;32;7.4;tt0052520
1;33;6.8;tt0052520
1;34;8.5;tt0052520
1;35;6.2;tt0052520
1;36;8.2;tt0052520
2;1;6.8;tt0052520
2;2;7.5;tt0052520
2;3;7.0;tt0052520
2;4;6.5;tt0052520
2;5;8.4;tt0052520
2;6;9.2;tt0052520
2;7;8.4;tt0052520
2;8;7.2;tt0052520
2;9;7.3;tt0052520
2;10;7.7;tt0052520
2;11;8.1;tt0052520
2;12;7.1;tt0052520
2;13;7.7;tt0052520
2;14;6.5;tt0052520
2;15;8.3;tt0052520
2;16;8.2;tt0052520
2;17;8.0;tt0052520
2;18;8.0;tt0052520
2;19;6.8;tt0052520
2;20;6.9;tt0052520
2;21;7.3;tt0052520
2;22;7.7;tt0052520
2;23;8.3;tt0052520
2;24;7.8;tt0052520
2;25;8.5;tt0052520
2;26;8.4;tt0052520
2;27;6.7;tt0052520
2;28;8.8;tt0052520
2;29;8.7;tt0052520
3;1;7.8;tt0052520
3;2;7.4;tt0052520
3;3;8.7;tt0052520
3;4;7.6;tt0052520
3;5;8.0;tt0052520
3;6;6.7;tt0052520
3;7;7.8;tt0052520
3;8;8.9;tt0052520
3;9;8.3;tt0052520
3;10;8.6;tt0052520
3;11;6.8;tt0052520
3;12;7.0;tt0052520
3;13;7.5;tt0052520
3;14;8.6;tt0052520
3;15;7.5;tt0052520
3;16;8.4;tt0052520
3;17;7.6;tt0052520
3;18;7.6;tt0052520
3;19;8.1;tt0052520
3;20;6.5;tt0052520
3;21;7.7;tt0052520
3;22;7.7;tt0052520
3;23;7.3;tt0052520
3;24;9.2;tt0052520
3;25;7.6;tt0052520
3;26;8.2;tt0052520
3;27;7.9;tt0052520
3;28;8.1;tt0052520
3;29;6.7;tt0052520
3;30;7.6;tt0052520
3;31;7.9;tt0052520
3;32;7.0;tt0052520
3;33;7.9;tt0052520
3;34;6.7;tt0052520
3;35;7.3;tt0052520
3;36;5.9;tt0052520
3;37;8.3;tt0052520
4;1;7.7;tt0052520
4;2;7.4;tt0052520
4;3;8.1;tt0052520
4;4;7.7;tt0052520
4;5;6.7;tt0052520
4;6;8.0;tt0052520
4;7;7.4;tt0052520
4;8;7.9;tt0052520
4;9;8.3;tt0052520
4;10;7.7;tt0052520
4;11;7.9;tt0052520
4;12;6.6;tt0052520
4;13;8.2;tt0052520
4;14;7.6;tt0052520
4;15;6.5;tt0052520
4;16;8.4;tt0052520
4;17;7.5;tt0052520
4;18;6.1;tt0052520
5;1;7.7;tt0052520
5;2;7.4;tt0052520
5;3;9.2;tt0052520
5;4;7.7;tt0052520
5;5;6.7;tt0052520
5;6;8.9;tt0052520
5;7;7.9;tt0052520
5;8;7.2;tt0052520
5;9;7.5;tt0052520
5;10;7.4;tt0052520
5;11;7.3;tt0052520
5;12;7.1;tt0052520
5;13;7.9;tt0052520
5;14;7.7;tt0052520
5;15;7.7;tt0052520
5;16;7.9;tt0052520
5;17;8.3;tt0052520
5;18;6.5;tt0052520
5;19;8.3;tt0052520
5;20;6.6;tt0052520
5;21;7.2;tt0052520
5;22;8.5;tt0052520
5;23;7.7;tt0052520
5;24;7.3;tt0052520
5;25;8.7;tt0052520
5;26;7.7;tt0052520
5;27;5.9;tt0052520
5;28;6.8;tt0052520
5;29;7.8;tt0052520
5;30;8.3;tt0052520
5;31;7.4;tt0052520
5;32;7.8;tt0052520
5;33;6.7;tt0052520
5;34;6.7;tt0052520
5;35;7.3;tt0052520
5;36;6.9;tt0052520
1;1;8.7;tt1806234
1;2;8.6;tt1806234
1;3;8.8;tt1806234
1;4;8.9;tt1806234
1;5;8.7;tt1806234
1;6;8.6;tt1806234
1;7;8.6;tt1806234
1;8;8.2;tt1806234
1;1;8.5;tt0092337
1;2;7.9;tt0092337
1;3;7.6;tt0092337
1;4;8.5;tt0092337
1;5;8.5;tt0092337
1;6;8.7;tt0092337
1;7;8.0;tt0092337
1;8;7.7;tt0092337
1;9;8.2;tt0092337
1;10;8.4;tt0092337
1;1;8.6;tt0098769
1;2;8.4;tt0098769
1;3;8.4;tt0098769
1;4;8.5;tt0098769
1;5;8.8;tt0098769
1;6;8.6;tt0098769
1;7;8.5;tt0098769
1;8;8.8;tt0098769
1;9;8.8;tt0098769
1;1;8.5;tt0303461
1;2;8.5;tt0303461
1;3;8.9;tt0303461
1;4;8.6;tt0303461
1;5;9.2;tt0303461
1;6;8.5;tt0303461
1;7;8.3;tt0303461
1;8;8.8;tt0303461
1;9;8.7;tt0303461
1;10;9.0;tt0303461
1;11;8.7;tt0303461
1;12;8.4;tt0303461
1;13;8.6;tt0303461
1;14;8.5;tt0303461
1;1;7.6;tt1355642
1;2;8.3;tt1355642
1;3;7.7;tt1355642
1;4;8.8;tt1355642
1;5;8.1;tt1355642
1;6;7.4;tt1355642
1;7;7.6;tt1355642
1;8;7.8;tt1355642
1;9;7.8;tt1355642
1;10;8.4;tt1355642
1;11;7.1;tt1355642
1;12;7.9;tt1355642
1;13;7.9;tt1355642
1;14;8.5;tt1355642
1;15;7.4;tt1355642
1;16;7.8;tt1355642
1;17;8.0;tt1355642
1;18;7.9;tt1355642
1;19;9.2;tt1355642
1;20;8.0;tt1355642
1;21;7.9;tt1355642
1;22;8.4;tt1355642
1;23;8.2;tt1355642
1;24;8.1;tt1355642
1;25;7.8;tt1355642
1;26;8.4;tt1355642
1;27;6.2;tt1355642
1;28;8.0;tt1355642
1;29;7.6;tt1355642
1;30;7.7;tt1355642
1;31;7.4;tt1355642
1;32;7.3;tt1355642
1;33;7.6;tt1355642
1;34;7.6;tt1355642
1;35;7.8;tt1355642
1;36;7.8;tt1355642
1;37;7.8;tt1355642
1;38;7.7;tt1355642
1;39;7.7;tt1355642
1;40;8.4;tt1355642
1;41;8.0;tt1355642
1;42;7.8;tt1355642
1;43;8.2;tt1355642
1;44;7.9;tt1355642
1;45;7.8;tt1355642
1;46;7.8;tt1355642
1;47;8.1;tt1355642
1;48;8.2;tt1355642
1;49;7.9;tt1355642
1;50;8.2;tt1355642
1;51;8.3;tt1355642
1;52;8.2;tt1355642
1;53;8.6;tt1355642
1;54;8.7;tt1355642
1;55;7.9;tt1355642
1;56;8.1;tt1355642
1;57;8.4;tt1355642
1;58;8.2;tt1355642
1;59;8.4;tt1355642
1;60;8.6;tt1355642
1;61;8.4;tt1355642
1;62;8.8;tt1355642
1;63;8.9;tt1355642
1;64;8.6;tt1355642
1;1;9.0;tt2356777
1;2;8.9;tt2356777
1;3;9.2;tt2356777
1;4;9.7;tt2356777
1;5;9.6;tt2356777
1;6;9.2;tt2356777
1;7;9.2;tt2356777
1;8;9.6;tt2356777
2;1;7.8;tt2356777
2;2;7.9;tt2356777
2;3;7.6;tt2356777
2;4;8.4;tt2356777
2;5;7.9;tt2356777
2;6;8.5;tt2356777
2;7;8.8;tt2356777
2;8;8.2;tt2356777
3;1;8.8;tt2356777
3;2;8.4;tt2356777
3;3;8.1;tt2356777
3;4;8.3;tt2356777
3;5;8.7;tt2356777
3;6;8.7;tt2356777
3;7;8.9;tt2356777
3;8;8.0;tt2356777
1;1;9.4;tt2802850
1;2;8.5;tt2802850
1;3;8.7;tt2802850
1;4;9.0;tt2802850
1;5;8.6;tt2802850
1;6;9.4;tt2802850
1;7;9.1;tt2802850
1;8;8.8;tt2802850
1;9;9.4;tt2802850
1;10;9.4;tt2802850
2;1;9.0;tt2802850
2;2;8.7;tt2802850
2;3;8.8;tt2802850
2;4;8.9;tt2802850
2;5;9.3;tt2802850
2;6;9.4;tt2802850
2;7;9.0;tt2802850
2;8;9.5;tt2802850
2;9;9.6;tt2802850
2;10;8.6;tt2802850
3;1;8.7;tt2802850
3;2;8.2;tt2802850
3;3;8.1;tt2802850
3;4;8.4;tt2802850
3;5;8.5;tt2802850
3;6;8.9;tt2802850
3;7;8.5;tt2802850
3;8;9.1;tt2802850
3;9;9.0;tt2802850
3;10;8.7;tt2802850
1;1;7.1;tt0103359
1;2;7.2;tt0103359
1;3;8.1;tt0103359
1;4;7.4;tt0103359
1;5;7.6;tt0103359
1;6;6.8;tt0103359
1;7;7.5;tt0103359
1;8;6.8;tt0103359
1;9;7.2;tt0103359
1;10;7.2;tt0103359
1;11;6.8;tt0103359
1;12;6.7;tt0103359
1;13;6.8;tt0103359
1;14;6.8;tt0103359
1;15;7.0;tt0103359
1;16;6.4;tt0103359
1;17;8.3;tt0103359
1;18;8.2;tt0103359
1;19;6.7;tt0103359
1;20;5.9;tt0103359
1;21;6.7;tt0103359
1;22;5.8;tt0103359
1;23;6.6;tt0103359
1;24;7.0;tt0103359
1;25;6.6;tt0103359
1;26;7.7;tt0103359
1;27;6.1;tt0103359
1;28;6.6;tt0103359
1;29;6.9;tt0103359
1;30;6.0;tt0103359
1;31;7.1;tt0103359
1;32;7.8;tt0103359
1;33;6.2;tt0103359
1;34;7.1;tt0103359
1;35;8.1;tt0103359
1;36;5.9;tt0103359
1;37;6.3;tt0103359
1;38;7.2;tt0103359
1;39;6.7;tt0103359
1;40;6.8;tt0103359
1;41;7.0;tt0103359
1;42;6.9;tt0103359
1;43;6.8;tt0103359
1;44;6.3;tt0103359
1;45;6.6;tt0103359
1;46;7.3;tt0103359
1;47;7.3;tt0103359
1;48;6.3;tt0103359
1;49;7.3;tt0103359
1;50;6.6;tt0103359
1;51;7.4;tt0103359
1;52;6.6;tt0103359
1;53;7.2;tt0103359
1;54;6.3;tt0103359
1;55;6.7;tt0103359
1;56;6.7;tt0103359
1;57;6.7;tt0103359
1;58;6.7;tt0103359
1;59;7.0;tt0103359
1;60;6.1;tt0103359
2;1;6.8;tt0103359
2;2;6.8;tt0103359
2;3;6.8;tt0103359
2;4;6.1;tt0103359
2;5;6.3;tt0103359
2;6;6.7;tt0103359
2;7;6.6;tt0103359
2;8;6.0;tt0103359
2;9;7.6;tt0103359
2;10;7.0;tt0103359
3;1;6.7;tt0103359
3;2;7.1;tt0103359
3;3;6.6;tt0103359
3;4;6.6;tt0103359
3;5;6.2;tt0103359
3;6;6.9;tt0103359
3;7;6.1;tt0103359
3;8;6.3;tt0103359
3;9;6.2;tt0103359
3;10;6.6;tt0103359
4;1;5.7;tt0103359
4;2;6.1;tt0103359
4;3;6.4;tt0103359
4;4;6.6;tt0103359
4;5;5.9;tt0103359
1;1;8.4;tt3530232
1;2;8.0;tt3530232
1;3;8.1;tt3530232
1;4;7.9;tt3530232
1;5;8.7;tt3530232
1;6;8.5;tt3530232
1;7;8.0;tt3530232
1;8;8.1;tt3530232
1;9;7.6;tt3530232
1;10;7.9;tt3530232
1;11;8.0;tt3530232
1;12;8.1;tt3530232
1;13;7.7;tt3530232
1;14;7.9;tt3530232
1;15;7.8;tt3530232
1;16;8.0;tt3530232
1;17;8.0;tt3530232
1;18;8.1;tt3530232
1;19;7.9;tt3530232
1;20;8.5;tt3530232
1;21;8.3;tt3530232
1;22;7.8;tt3530232
1;23;7.9;tt3530232
1;24;8.6;tt3530232
2;1;8.3;tt3530232
2;2;8.7;tt3530232
2;3;8.0;tt3530232
2;4;8.2;tt3530232
2;5;8.3;tt3530232
2;6;8.2;tt3530232
2;7;8.1;tt3530232
2;8;9.4;tt3530232
2;9;7.5;tt3530232
2;10;7.9;tt3530232
2;11;8.1;tt3530232
2;12;7.9;tt3530232
2;13;8.1;tt3530232
2;14;8.0;tt3530232
2;15;8.8;tt3530232
2;16;8.3;tt3530232
2;17;8.3;tt3530232
2;18;8.1;tt3530232
2;19;8.0;tt3530232
2;20;8.2;tt3530232
2;21;8.5;tt3530232
2;22;8.4;tt3530232
2;23;8.2;tt3530232
2;24;8.8;tt3530232
2;25;9.3;tt3530232
2;26;8.2;tt3530232
2;27;8.4;tt3530232
2;28;8.1;tt3530232
2;29;8.0;tt3530232
2;30;7.8;tt3530232
2;31;8.1;tt3530232
2;32;7.8;tt3530232
2;33;8.1;tt3530232
2;34;8.2;tt3530232
2;35;8.4;tt3530232
3;1;8.2;tt3530232
3;2;8.6;tt3530232
3;3;9.3;tt3530232
3;4;7.8;tt3530232
3;5;8.2;tt3530232
3;6;8.4;tt3530232
3;7;7.8;tt3530232
3;8;8.0;tt3530232
3;9;7.8;tt3530232
3;10;8.2;tt3530232
3;11;8.8;tt3530232
3;12;8.1;tt3530232
3;13;7.9;tt3530232
3;14;8.6;tt3530232
3;15;8.1;tt3530232
3;16;8.1;tt3530232
3;17;7.9;tt3530232
3;18;8.4;tt3530232
3;19;8.1;tt3530232
3;20;8.3;tt3530232
3;21;8.2;tt3530232
3;22;8.0;tt3530232
3;23;8.2;tt3530232
3;24;8.1;tt3530232
3;25;8.2;tt3530232
3;26;7.8;tt3530232
3;27;8.0;tt3530232
3;28;8.0;tt3530232
3;29;8.3;tt3530232
3;30;8.7;tt3530232
4;1;9.0;tt3530232
4;2;8.6;tt3530232
4;3;8.2;tt3530232
4;4;8.7;tt3530232
4;5;8.2;tt3530232
4;6;8.2;tt3530232
